productId	helpful	score	profileName
B003AI2VGA	7	3.0	"Brian E. Erland ""Rainbow Sphinx"""
B003AI2VGA	4	3.0	Grady Harp
B003AI2VGA	8	5.0	"Chrissy K. McVay ""Writer"""
B003AI2VGA	1	3.0	golgotha.gov
B003AI2VGA	1	3.0	"KerrLines ""&#34;Movies,Music,Theatre&#34;"""
B003AI2VGA	0	2.0	"abra ""a devoted reader"""
B003AI2VGA	3	1.0	Charles R. Williams
B00006HAXW	64	5.0	Anthony Accordino
B00006HAXW	26	5.0	Joseph P. Aiello
B00006HAXW	24	5.0	"""bruce_from_la"""
B00006HAXW	22	4.0	Henrique Peirano
B00006HAXW	14	5.0	Richard Albero
B00006HAXW	9	5.0	Les
B00006HAXW	9	5.0	Joseph M. Kotow
B00006HAXW	7	4.0	"""fellafromnyc"""
B00006HAXW	7	5.0	S. Dorman
B00006HAXW	7	5.0	RFP
B00006HAXW	4	5.0	C. Thomas
B00006HAXW	3	5.0	Michael A. Martin
B00006HAXW	5	5.0	"C. W. Emblom ""Bill Emblom"""
B00004CQT3	18	5.0	steven conklin
B00004CQT3	14	5.0	Godly Gadfly
B00004CQT3	10	5.0	K. Kangley
B00004CQT3	7	5.0	"Jerry Loveless ""jerryl3515"""
B00004CQT3	4	5.0	"Frank J. Pickens ""Blade"""
B00004CQT3	1	5.0	Michael
B00004CQT3	1	5.0	"Gary E. Hogan ""GEH"""
B00004CQT3	0	3.0	B. E Jackson
B00004CQT3	0	5.0	Jack
B00004CQT3	0	4.0	Ranny Levy
B00004CQT3	0	5.0	LuAnn Perkins
B00004CQT3	0	5.0	ZombiBoi
B00004CQT3	0	5.0	J. L. Noble
B00004CQT3	0	5.0	D. R. Smith
B00004CQT3	0	5.0	ER
B00004CQT3	0	5.0	Shannon M. Naramore
B00004CQT3	0	5.0	"Hank ""Hank"""
B00004CQT3	0	5.0	Dario R Opistan
B00004CQT3	0	5.0	TieDi
B00004CQT3	0	3.0	Mark Baker
B00004CQT3	3	4.0	Rob Hobbs
B00004CQT3	3	5.0	"Vicki D. Syrett ""grandma-vicki"""
B00004CQT3	2	3.0	"David L Hutchins ""Music Lover"""
B00004CQT3	1	1.0	Elizabeth LaRosa
B00004CQT4	0	5.0	Michele Adams
B00004CQT4	0	4.0	Der girl
B00004CQT4	0	4.0	"Mark A. Jones ""Don't worry, be happy!"""
B00004CQT4	0	5.0	Kindra
B00004CQT4	0	4.0	"*** ""AC1962"""
B006JIUN2W	1	5.0	Manoj Sharma
B0078V2LCY	1	3.0	"K. Harris ""Film aficionado"""
B0078V2LCY	0	4.0	David W. Deyerle
B003ZG3GAM	0	5.0	J. Marszalek
B004BH1TN0	34	5.0	"Martin A Hogan ""Marty From SF"""
B004BH1TN0	2	5.0	Rona
B004BH1TN0	2	4.0	"A customer ""mistermaxxx"""
B004BH1TN0	2	5.0	"""utawwsexy"""
B004BH1TN0	0	3.0	Antonio Maisonet
B004BH1TN0	0	4.0	Irving Faqua
B004BH1TN0	0	5.0	"S. Lomax ""Shawna67"""
B004BH1TN0	0	4.0	"M. Chung ""music lover"""
B004BH1TN0	0	5.0	Country Woman
B0071AD95K	5	5.0	fjiewofjeiwo
B0071AD95K	4	5.0	J. A. Handford
B0071AD95K	3	5.0	Ryan's mom
B0071AD95K	1	5.0	Stephen
B0071AD95K	1	5.0	"J. Kennel ""marriagefanatic"""
B0071AD95K	4	5.0	Flower
B0071AD95K	0	5.0	Darryl M. Cue
B0071AD95K	0	4.0	Stranger in the land
B0071AD95K	0	5.0	"Eric Lessner ""Eric0118"""
B000063W1R	1	5.0	"Terrie ""seamstress"""
B000063W1R	1	5.0	LBurkett
B000063W1R	1	5.0	"Brandy51 ""Brandy"""
B000063W1R	1	5.0	Mimi
B000063W1R	1	4.0	Holly N.
B000063W1R	1	5.0	ECastle
B000063W1R	1	5.0	"Mark E. Baxter ""Inquirer"""
B000063W1R	1	5.0	PINKPEARL
B000063W1R	1	4.0	Viva
B000063W1R	1	5.0	"Arturo Bustamante ""Art"""
B000063W1R	1	5.0	M. Pruitt
B000063W1R	1	3.0	susumu-5
B000063W1R	1	5.0	James D'arcy Pacita D'arcy
B000063W1R	1	4.0	S. AIKEN
B000063W1R	1	4.0	Casey Scott
B000063W1R	1	4.0	Ken Gingerly
B000063W1R	1	5.0	J. Smith
B000063W1R	1	5.0	D. Myers
B000063W1R	1	3.0	M. Miller
B000063W1R	1	5.0	M. Gibson
B000063W1R	1	3.0	freedom78
B000063W1R	1	5.0	J. Thomas
B000063W1R	1	5.0	"Randall Shute ""The Coroner of China"""
B000063W1R	1	5.0	"AVA VAN ""Caveziel fan"""
B000063W1R	1	5.0	K. Wells
B000063W1R	1	4.0	K. Atkins
B000063W1R	1	5.0	Jerry
B000063W1R	1	4.0	M. J. McManus
